draw,serial,26,1,0.23,4.05,4.36
draw,serial,26,1,0.23,4.04,4.36
draw,serial,26,1,0.23,4.06,4.37
limits,serial,26,1,0.00,1.66,1.67
limits,serial,26,1,0.00,1.67,1.67
limits,serial,26,1,0.00,1.67,1.67
draw,pthread,26,1,0.24,3.50,3.82
draw,pthread,26,1,0.24,3.50,3.82
draw,pthread,26,1,0.22,3.51,3.82
draw,pthread,26,2,0.26,3.65,2.06
draw,pthread,26,2,0.31,3.77,2.16
draw,pthread,26,2,0.24,3.66,2.06
draw,pthread,26,3,0.28,3.70,1.46
draw,pthread,26,3,0.26,4.04,1.58
draw,pthread,26,3,0.26,3.84,1.53
draw,pthread,26,4,0.31,4.08,1.24
draw,pthread,26,4,0.32,4.23,1.29
draw,pthread,26,4,0.31,4.21,1.27
draw,pthread,26,5,0.36,5.55,1.62
draw,pthread,26,5,0.38,5.65,1.65
draw,pthread,26,5,0.36,5.31,1.55
draw,pthread,26,6,0.37,5.79,1.37
draw,pthread,26,6,0.37,6.09,1.39
draw,pthread,26,6,0.39,5.95,1.37
draw,pthread,26,7,0.43,6.68,1.27
draw,pthread,26,7,0.39,6.58,1.23
draw,pthread,26,7,0.40,6.49,1.22
draw,pthread,26,8,0.42,7.20,1.13
draw,pthread,26,8,0.40,7.19,1.12
draw,pthread,26,8,0.39,7.21,1.13
draw,tbb,26,1,0.26,3.58,3.93
draw,tbb,26,1,0.26,3.50,3.84
draw,tbb,26,1,0.23,3.51,3.83
draw,tbb,26,2,0.28,3.62,2.05
draw,tbb,26,2,0.25,3.64,2.04
draw,tbb,26,2,0.29,3.62,2.06
draw,tbb,26,3,0.29,3.76,1.46
draw,tbb,26,3,0.29,3.87,1.49
draw,tbb,26,3,0.27,3.82,1.47
draw,tbb,26,4,0.29,3.84,1.14
draw,tbb,26,4,0.32,3.98,1.18
draw,tbb,26,4,0.31,4.16,1.23
draw,tbb,26,5,0.32,4.77,1.13
draw,tbb,26,5,0.34,4.91,1.17
draw,tbb,26,5,0.35,4.91,1.17
draw,tbb,26,6,0.38,5.73,1.15
draw,tbb,26,6,0.42,5.74,1.15
draw,tbb,26,6,0.34,5.67,1.12
draw,tbb,26,7,0.40,6.51,1.11
draw,tbb,26,7,0.37,6.46,1.10
draw,tbb,26,7,0.37,6.41,1.09
draw,tbb,26,8,0.43,7.08,1.07
draw,tbb,26,8,0.39,7.05,1.05
draw,tbb,26,8,0.47,7.07,1.07
limits,pthread,26,1,0.00,1.38,1.39
limits,pthread,26,1,0.00,1.29,1.29
limits,pthread,26,1,0.00,1.29,1.29
limits,pthread,26,2,0.00,1.34,0.67
limits,pthread,26,2,0.00,1.33,0.67
limits,pthread,26,2,0.00,1.35,0.68
limits,pthread,26,3,0.00,1.36,0.46
limits,pthread,26,3,0.00,1.36,0.46
limits,pthread,26,3,0.00,1.36,0.46
limits,pthread,26,4,0.00,1.39,0.35
limits,pthread,26,4,0.00,1.38,0.35
limits,pthread,26,4,0.00,1.41,0.36
limits,pthread,26,5,0.00,1.56,0.37
limits,pthread,26,5,0.00,1.56,0.36
limits,pthread,26,5,0.00,1.58,0.37
limits,pthread,26,6,0.00,1.70,0.32
limits,pthread,26,6,0.00,1.71,0.32
limits,pthread,26,6,0.00,1.72,0.32
limits,pthread,26,7,0.00,1.84,0.28
limits,pthread,26,7,0.00,1.85,0.28
limits,pthread,26,7,0.00,1.84,0.28
limits,pthread,26,8,0.00,1.91,0.25
limits,pthread,26,8,0.00,1.91,0.26
limits,pthread,26,8,0.00,1.92,0.25
limits,tbb,26,1,0.00,1.29,1.29
limits,tbb,26,1,0.00,1.28,1.29
limits,tbb,26,1,0.00,1.28,1.29
limits,tbb,26,2,0.00,1.32,0.66
limits,tbb,26,2,0.00,1.34,0.67
limits,tbb,26,2,0.00,1.32,0.66
limits,tbb,26,3,0.00,1.36,0.45
limits,tbb,26,3,0.00,1.39,0.46
limits,tbb,26,3,0.00,1.43,0.47
limits,tbb,26,4,0.00,1.41,0.35
limits,tbb,26,4,0.00,1.43,0.36
limits,tbb,26,4,0.00,1.40,0.35
limits,tbb,26,5,0.00,1.57,0.31
limits,tbb,26,5,0.00,1.56,0.31
limits,tbb,26,5,0.00,1.57,0.31
limits,tbb,26,6,0.00,1.71,0.29
limits,tbb,26,6,0.00,1.71,0.28
limits,tbb,26,6,0.00,1.72,0.28
limits,tbb,26,7,0.00,1.85,0.26
limits,tbb,26,7,0.01,1.83,0.26
limits,tbb,26,7,0.01,1.84,0.26
limits,tbb,26,8,0.01,1.95,0.24
limits,tbb,26,8,0.01,1.95,0.24
