EXPERIMENT thread=4 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.069811,0.002057,0.019840,
slow_a,0.545658,0.000000,0.138935,
slow_b,7.178297,0.000933,2.140096,
slow_c,36.429936,0.002943,9.611818,
slow_d,37.592712,58.699753,25.448366,
slow_e,0.091155,0.002411,0.026580,
slow_f,0.145677,0.003630,0.059665,

