EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.101647,0.000000,0.051012,
slow_a,1.043379,0.000006,0.522628,
slow_b,2.915215,0.001000,1.466447,
slow_c,6.897574,0.000000,3.471193,
slow_d,29.339446,46.885453,38.183729,
slow_e,2.535986,0.000231,1.275263,
slow_f,0.206847,0.000197,0.125569,

