EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.052202,0.000055,0.052364,
slow_a,0.502935,0.000027,0.503573,
slow_b,0.735254,0.000007,0.736312,
slow_c,3.254596,0.000002,3.258347,
slow_d,6.463443,0.000001,6.475941,
slow_e,1.920400,0.000000,1.932592,
slow_f,0.126687,0.000000,0.126877,

