thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7866837,222041513,454888963,1394273926,
1,0,slow_a,7871075,2695790103,2240525866,6653022343,
1,0,slow_b,7873128,1190550767,3081658596,4613046537,
1,0,slow_c,7886141,1690791031,12753577809,5113025666,
1,0,slow_d,7957727,4690775229,25484114689,11613032145,
1,0,slow_e,502576958,690204182,5099653533,5113064444,
1,0,slow_f,7869417,222045763,718978582,2206799375,
2,1,fast,7892727,222042835,919638640,1414286555,
2,1,slow_a,7870621,2695792680,4471427023,6673026594,
2,1,slow_b,15173964,1190669186,11779844003,4633068298,
2,1,slow_c,7915282,1690796139,26894835843,5133033571,
2,1,slow_d,8170974,5287924539,51957051486,15967987384,
2,1,slow_e,391721617,690747071,7113029410,5133069539,
2,1,slow_f,7878355,222052109,1266035200,2226825428,
2,0,fast,7867951,222042822,768854404,1414279339,
2,0,slow_a,7881931,2695792397,2570961615,6673026370,
2,0,slow_b,166008064,1190591247,16586163837,4633067516,
2,0,slow_c,646112790,1689743992,104498316736,5133054388,
2,0,slow_d,636900418,5115690594,89371702419,14577842948,
2,0,slow_e,690505100,690222936,9302501864,5133069845,
2,0,slow_f,7885886,222050859,1084222240,2226825433,
